orden,desde,desde_mes,desde_anio,desde_mes_nombre,vence,estado,situacion_actual,sujeto_obligado,ministerio_orbita,provincia,ingreso,motivo_del_reclamo,resumen,sintesis_de_resolucion,resultado_intimacion,n_expediente,informe_de_cierre
1263,07/09/2021,9,2021,Septiembre,21/10/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Desistimiento,Desistimiento,NA,EX-2021-83735584-   -APN-DNAIP#AAIP,NA
1264,07/09/2021,9,2021,Septiembre,21/10/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Desistimiento,Desistimiento,NA,EX-2021-83732193-   -APN-DNAIP#AAIP,NA
1265,07/09/2021,9,2021,Septiembre,21/10/2021,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Desistimiento,Desistimiento,NA,EX-2021-83727869-   -APN-DNAIP#AAIP,NA
1266,07/09/2021,9,2021,Septiembre,21/10/2021,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Desistimiento,Desistimiento,NA,EX-2021-83749685-   -APN-DNAIP#AAIP,NA
1267,07/09/2021,9,2021,Septiembre,21/10/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Desistimiento,Desistimiento,NA,EX-2021-83748878-   -APN-DNAIP#AAIP,NA
1268,07/09/2021,9,2021,Septiembre,21/10/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Desistimiento,Desistimiento,NA,EX-2021-83747706-   -APN-DNAIP#AAIP,NA
1269,07/09/2021,9,2021,Septiembre,21/10/2021,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Desistimiento,Desistimiento,NA,EX-2021-83746768-   -APN-DNAIP#AAIP,NA
1271,08/09/2021,9,2021,Septiembre,22/10/2021,Cerrado,Finalizado,Dirección Nacional de Migraciones,Ministerio de Interior,Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2021-84385648-   -APN-DNAIP#AAIP,NA
1272,10/09/2021,9,2021,Septiembre,26/10/2021,Cerrado,Finalizado,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto","Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2021-85358724-   -APN-DNAIP#AAIP,NA
1273,14/09/2021,9,2021,Septiembre,28/10/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-86617731-   -APN-DNAIP#AAIP,1° INFORME: IF-2021-106186847-APN-DNAIP#AAIP. 03/11 Se notificó al SO por NO-2021-106196253-APN-DNAIP%AAIP y al reclamante por TAD. 2° INFORMER: IF-2023-78337397-APN-DNPAIP#AAIP. Notificado x TAD 10/07/2023
1274,14/09/2021,9,2021,Septiembre,28/10/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-86617140-   -APN-DNAIP#AAIP,1° Informe IF-2021-107110287-APN-DNAIP%25AAIP 08/11 Se notificó al SO por NO-2021-107637791-APN-DNAIP%25AAIP y al reclamante por TAD. 2° Informe. IF-2023-78336208-APN-DNPAIP#AAIP. Notificado el 10/07/2023
1275,14/09/2021,9,2021,Septiembre,28/10/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-86616598-   -APN-DNAIP#AAIP,2° Informe: IF-2021-108143017-APN-DNAIP%25AAIP. 10/11 Se notificó al SO por NO-2021-108707766-APN-DNAIP%25AAIP y al reclamante por TAD. 2° INFORME: IF-2023-78335706-APN-DNPAIP#AAIP. Notificado por TAD 10/7/2023
1277,14/09/2021,9,2021,Septiembre,28/10/2021,Cerrado,Finalizado,Ministerio de Desarrollo Productivo (no vigente),Ministerio de Desarrollo Productivo (no vigente),Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-86483525-   -APN-DNAIP#AAIP,NA
1278,15/09/2021,9,2021,Septiembre,29/10/2021,Cerrado,Finalizado,Ministerio de Educación,Ministerio de Educación,Neuquén,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2021-87076042-   -APN-DNAIP#AAIP,NA
1279,15/09/2021,9,2021,Septiembre,29/10/2021,Cerrado,Finalizado,Ministerio de Educación,Ministerio de Educación,Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-86633055-   -APN-DNAIP#AAIP,NA
1281,16/09/2021,9,2021,Septiembre,01/11/2021,Cerrado,Finalizado,Dirección Nacional de Migraciones,Ministerio de Interior,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-87477605-   -APN-DNAIP#AAIP,NA
1282,17/09/2021,9,2021,Septiembre,02/11/2021,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-87988165-   -APN-DNAIP#AAIP,NA
1284,20/09/2021,9,2021,Septiembre,03/11/2021,Cerrado,Finalizado,UBA,Universidad,Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2021-88546138-   -APN-DNAIP#AAIP,NA
1285,21/09/2021,9,2021,Septiembre,04/11/2021,Cerrado,Finalizado,ANSES,"Ministerio de Trabajo, Empleo y Seguridad Social",Buenos Aires,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2021-89013371-   -APN-DNAIP#AAIP,IF-2021-112818694-APN-DNAIP#AAIP. Se notificó al SO el 24/11 y al reclamante por mail
1287,22/09/2021,9,2021,Septiembre,05/11/2021,Cerrado,Finalizado,Ministerio de Turismo y Deportes,Ministerio de Turismo y Deportes,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-89461100-   -APN-DNAIP#AAIP,NA
1288,22/09/2021,9,2021,Septiembre,05/11/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-89723780-   -APN-DNAIP#AAIP,NA
1290,23/09/2021,9,2021,Septiembre,08/11/2021,Cerrado,Finalizado,Ministerio de Ambiente y Desarrollo Sostenible,Ministerio de Ambiente y Desarrollo Sostenible,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-89855524-   -APN-DNAIP#AAIP,NA
1291,23/09/2021,9,2021,Septiembre,08/11/2021,Cerrado,Finalizado,ENACOM,Jefatura de Gabinete de Ministros,Buenos Aires,TAD,No aplica,No corresponde,No es SIP,NA,EX-2021-90085970-   -APN-DNAIP#AAIP,NA
1292,24/09/2021,9,2021,Septiembre,09/11/2021,Cerrado,Finalizado,"Ministerio de Relaciones Exteriores, Comercio Internacional y Culto","Ministerio de Relaciones Exteriores, Comercio Internacional y Culto",Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2021-90474603-   -APN-DNAIP#AAIP,NA
1293,24/09/2021,9,2021,Septiembre,09/11/2021,Cerrado,Finalizado,ARN,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-90453119-   -APN-DNAIP#AAIP,NA
1295,27/09/2021,9,2021,Septiembre,10/11/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por reclamo duplicado,NA,EX-2021-91142024-   -APN-DNAIP#AAIP,NA
1299,01/10/2021,10,2021,Octubre,16/11/2021,Cerrado,Finalizado,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-93240739-   -APN-DNAIP#AAIP,IF-2021-118464060-APN-DNAIP%25AAIP 07/12 Se notificó al SO por NO-2021-118837993-APN-DNAIP#AAIP y a la reclamante por TAD
1300,01/10/2021,10,2021,Octubre,16/11/2021,Cerrado,Finalizado,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-93237952-   -APN-DNAIP#AAIP,IF-2021-118459160-APN-DNAIP%25AAIP 07/12 Se notifico al so por NO-2021-118844528-APN-DNAIP#AAIP  y a la reclamante por TAD
1301,01/10/2021,10,2021,Octubre,16/11/2021,Cerrado,Finalizado,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-93243283-   -APN-DNAIP#AAIP,IF-2021-120571349-APN-DNAIP%25AAIP 14/12 Se notificó al SO por NO-2021-121255436-APN-DNAIP%25AAIP y a la reclamante por TAD
1302,01/10/2021,10,2021,Octubre,16/11/2021,Cerrado,Finalizado,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-93242599-   -APN-DNAIP#AAIP,IF-2021-118461178-APN-DNAIP%25AAIP 07/12 Se notificó al SO por NO-2021-118842476-APN-DNAIP#AAIP y a la reclamante por TAD
1303,01/10/2021,10,2021,Octubre,16/11/2021,Cerrado,Finalizado,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-93241985-   -APN-DNAIP#AAIP,IF-2021-118462174-APN-DNAIP%25AAIP 07/12 Se notificó al SO por NO-2021-118841742-APN-DNAIP#AAIP y a la reclamante por TAD
1304,01/10/2021,10,2021,Octubre,16/11/2021,Cerrado,Finalizado,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-93233367-   -APN-DNAIP#AAIP,IF-2021-118463448-APN-DNAIP%25AAIP 07/12 Se notificó al SO por NO-2021-118839566-APN-DNAIP#AAIP y a la reclamante por TAD
1306,01/10/2021,10,2021,Octubre,16/11/2021,Cerrado,Finalizado,Ministerio de Desarrollo Social,Ministerio de Desarrollo Social,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-93286456-   -APN-DNAIP#AAIP,NA
1307,01/10/2021,10,2021,Octubre,16/11/2021,Cerrado,Finalizado,Ministerio de Obras Públicas,Ministerio de Obras Públicas,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Archivo,Rechazo,NA,EX-2021-93309397-   -APN-DNAIP#AAIP,NA
1308,04/10/2021,10,2021,Octubre,17/11/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2021-94223890-   -APN-DNAIP#AAIP,IF-2021-94223890-APN-DNAIP#AAIP
1309,04/10/2021,10,2021,Octubre,17/11/2021,Cerrado,Finalizado,UNSAM,Universidad,Mendoza,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-94522829-   -APN-DNAIP#AAIP,NA
1310,05/10/2021,10,2021,Octubre,18/11/2021,Cerrado,Finalizado,Nucleoelectrica S.A.,Empresa,Córdoba,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2021-94936567-   -APN-DNAIP#AAIP,IF-2021-125446108-APN-DNAIP%AAIP 27/12 Se notificó al SO por NO-2021-125470575-APN-DNAIP#AAIP y al reclamante por TAD
1311,05/10/2021,10,2021,Octubre,18/11/2021,Cerrado,Finalizado,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-95105442- -APN-DNAIP#AAIP,IF-2021-118460312-APN-DNAIP%25AAIP 07/12 Se notificó al SO por NO-2021-118843956-APN-DNAIP#AAIP y a la reclamante por TAD
1312,05/10/2021,10,2021,Octubre,18/11/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-94695454-   -APN-DNAIP#AAIP,NA
1313,06/10/2021,10,2021,Octubre,19/11/2021,Cerrado,Finalizado,Ministerio de Educación,Ministerio de Educación,Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-95117342- -APN-DNAIP#AAIP,IF-2021-121263586-APN-DNAIP#AAIP 14/12 Se notificó al SO por NO-2021-121297017-APN-DNAIP#AAIP y al reclamante por TAD
1314,06/10/2021,10,2021,Octubre,19/11/2021,Cerrado,Finalizado,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-95713874-   -APN-DNAIP#AAIP,NA
1315,06/10/2021,10,2021,Octubre,19/11/2021,Cerrado,Finalizado,Ministerio de Desarrollo Social,Ministerio de Desarrollo Social,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-95206085-   -APN-DNAIP#AAIP,NA
1318,12/10/2021,10,2021,Octubre,24/11/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Buenos Aires,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-96331752- -APN-DNAIP#AAIP,1° INFORME: IF-2021-123145096-APN-DNAIP%25AAIP. 20/12 Se notificó al SO por NO-2021-123250865-APN-DNAIP#AAIP y al reclamante por TAD. 2° INFORME: IF-2023-78318805-APN-DNPAIP#AAIP. Notificado por TAD el 10/07/2023
1319,12/10/2021,10,2021,Octubre,24/11/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Buenos Aires,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-96332178- -APN-DNAIP#AAIP,1° INFORME: IF-2021-123147275-APN-DNAIP%25AAIP 20/12 Se notificó al SO por NO-2021-123247570-APN-DNAIP#AAIP  y al reclamante por TAD. 2° INFORME. IF-2023-78307905-APN-DNPAIP#AAIP. Notificado el 10/07/2023
1320,12/10/2021,10,2021,Octubre,24/11/2021,Cerrado,Finalizado,Ministerio de Educación,Ministerio de Educación,Neuquén,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2021-97140977-   -APN-DNAIP#AAIP,NA
1322,14/10/2021,10,2021,Octubre,26/11/2021,Cerrado,Finalizado,Ministerio de Educación,Ministerio de Educación,Neuquén,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-98016894-   -APN-DNAIP#AAIP,NA
1324,15/10/2021,10,2021,Octubre,29/11/2021,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2021-98536159-   -APN-DNAIP#AAIP,IF-2021-122672797-APN-DNAIP%25AAIP 20/12 Se notificó al SO por NO-2021-123251750-APN-DNAIP#AAIP y al reclamante por TAD
1325,15/10/2021,10,2021,Octubre,29/11/2021,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-98530201-   -APN-DNAIP#AAIP,IF-2021-122670708-APN-DNAIP%25AAIP 20/12 Se notificó al SO por NO-2021-123252441-APN-DNAIP%25AAIP y al reclamante por TAD
1326,18/10/2021,10,2021,Octubre,30/11/2021,Cerrado,Finalizado,ENACOM,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2021-99009707-   -APN-DNAIP#AAIP,NA
1327,19/10/2021,10,2021,Octubre,01/12/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,No residente,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-99580516-   -APN-DNAIP#AAIP,1° Informe. IF-2021-123156748-APN-DNAIP#AAIP.  20/12 Se notificó al SO por NO-2021-123242603-APN-DNAIP#AAIP y a la reclamante por TAD. 2° INFORME. IF-2023-78319545-APN-DNPAIP#AAIP. Notificado el 10/07/2023
1328,19/10/2021,10,2021,Octubre,01/12/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,No residente,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-99576810-   -APN-DNAIP#AAIP,1° Informe: IF-2021-123150304-APN-DNAIP%25AAIP 20/12 Se notificó al SO por NO-2021-123244717-APN-DNAIP#AAIP y al reclamante por TAD. 2° Informe: IF-2023-78297834-APN-DNPAIP#AAIP. Notificado por TAD el 10/07/2023
1329,19/10/2021,10,2021,Octubre,01/12/2021,Cerrado,Finalizado,EANA,Ministerio de Transporte,Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-100021094-   -APN-DNAIP#AAIP,NA
1330,19/10/2021,10,2021,Octubre,01/12/2021,Cerrado,Finalizado,Ministerio de Seguridad,Ministerio de Seguridad,No residente,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-99573595-   -APN-DNAIP#AAIP,NA
1332,20/10/2021,10,2021,Octubre,02/12/2021,Cerrado,Finalizado,INIDEP,Ministerio de Economía,Ciudad Autónoma de Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2021-100344603-   -APN-DNAIP#AAIP,NA
1333,20/10/2021,10,2021,Octubre,02/12/2021,Cerrado,Finalizado,Universidad Nacional de Rio Negro,Universidad,Río Negro,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-100677893-   -APN-DNAIP#AAIP,NA
1334,20/10/2021,10,2021,Octubre,02/12/2021,Cerrado,Finalizado,Ministerio de Defensa,Ministerio de Defensa,Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-100417234-   -APN-DNAIP#AAIP,NA
1335,20/10/2021,10,2021,Octubre,02/12/2021,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,No aplica,No corresponde,SIP en plazo de respuesta,NA,EX-2021-100270519-   -APN-DNAIP#AAIP,NA
1337,22/10/2021,10,2021,Octubre,06/12/2021,Cerrado,Finalizado,Ministerio de Defensa,Ministerio de Defensa,Ciudad Autónoma de Buenos Aires,E-MAIL,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Cumplimiento,EX-2021-102741758-   -APN-DNAIP#AAIP,IF-2021-121615786-APN-DNAIP%25AAIP 14/12 Se notificó al SO por NO-2021-121778661-APN-DNAIP#AAIP y al reclamante por TAD
1338,22/10/2021,10,2021,Octubre,06/12/2021,Cerrado,Finalizado,Ministerio de Educación,Ministerio de Educación,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2021-101681050-   -APN-DNAIP#AAIP,NA
1339,22/10/2021,10,2021,Octubre,06/12/2021,Cerrado,Finalizado,Ministerio de Desarrollo Productivo (no vigente),Ministerio de Desarrollo Productivo (no vigente),Ciudad Autónoma de Buenos Aires,TAD,Silencio,Desistimiento,Desistimiento,NA,EX-2021-101210706-   -APN-DNAIP#AAIP,NA
1340,22/10/2021,10,2021,Octubre,06/12/2021,Cerrado,Finalizado,Ministerio de Desarrollo Productivo (no vigente),Ministerio de Desarrollo Productivo (no vigente),Ciudad Autónoma de Buenos Aires,TAD,Silencio,Rechazo,Rechazo,NA,EX-2021-101211390-   -APN-DNAIP#AAIP,NA
1342,22/10/2021,10,2021,Octubre,06/12/2021,Cerrado,Finalizado,Ministerio de Defensa,Ministerio de Defensa,Santa Fe,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-101718094- -APN-DNAIP#AAIP,NA
1344,25/10/2021,10,2021,Octubre,07/12/2021,Cerrado,Finalizado,SIGEN,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-102289896-   -APN-DNAIP#AAIP,NA
1346,27/10/2021,10,2021,Octubre,10/12/2021,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2021-103541132-   -APN-DNAIP#AAIP,IF-2022-06465364-APN-DNAIP#AAIP
1347,27/10/2021,10,2021,Octubre,10/12/2021,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2021-103537816-   -APN-DNAIP#AAIP,IF-2022-06465364-APN-DNAIP#AAIP Se notificó el 21/01 IF-2022-22350471-APN-DNAIP#AAIP Se notificó el 10/03
1348,27/10/2021,10,2021,Octubre,10/12/2021,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Rechazo,NA,EX-2021-103458782-   -APN-DNAIP#AAIP,NA
1349,27/10/2021,10,2021,Octubre,10/12/2021,Cerrado,Finalizado,Ministerio de Economía,Ministerio de Economía,Buenos Aires,TAD,Silencio,No corresponde,SIP en plazo de respuesta,NA,EX-2021-103538043-   -APN-DNAIP#AAIP,NA
1350,27/10/2021,10,2021,Octubre,10/12/2021,Cerrado,Finalizado,Ministerio de Turismo y Deportes,Ministerio de Turismo y Deportes,Buenos Aires,TAD,No aplica,No corresponde,SIP en plazo de respuesta,NA,EX-2021-103301647-   -APN-DNAIP#AAIP,NA
1351,27/10/2021,10,2021,Octubre,10/12/2021,Cerrado,Finalizado,OA,Presidencia de la Nación,No residente,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-103213629-   -APN-DNAIP#AAIP,NA
1354,01/11/2021,11,2021,Noviembre,15/12/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,No residente,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Incumplimiento parcial,EX-2021-105170938-   -APN-DNAIP#AAIP,IF-2022-06106049-APN-DNAIP#AAIP 15/02/22 IF-2022-14459649-APN-DNAIP#AAIP Se notificó el 15/02
1355,01/11/2021,11,2021,Noviembre,15/12/2021,Cerrado,Finalizado,ANSES,"Ministerio de Trabajo, Empleo y Seguridad Social",Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2021-105675266-   -APN-DNAIP#AAIP,IF-2022-00648261-APN-DNAIP#AAIP 04/01 Se notificó al SO por NO-2022-00693153-APN-DNAIP#AAIP y al reclamante por mail
1356,01/11/2021,11,2021,Noviembre,15/12/2021,Cerrado,Finalizado,BNA,Ministerio de Economía,Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2021-104774481-   -APN-DNAIP#AAIP,NA
1362,08/11/2021,11,2021,Noviembre,22/12/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2021-107643097-   -APN-DNAIP#AAIP,IF-2022-03429167-APN-DNAIP%25AAIP 12/01 Se notificó al SO por NO-2022-03450658-APN-DNAIP#AAIP y al reclamante por TAD
1363,08/11/2021,11,2021,Noviembre,22/12/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2021-107638962-   -APN-DNAIP#AAIP,IF-2022-03430568-APN-DNAIP%25AAIP 12/01 Se notificó al SO por NO-2022-03449860-APN-DNAIP#AAIP y al reclamante por TAD
1364,08/11/2021,11,2021,Noviembre,22/12/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2021-107649238- -APN-DNAIP#AAIP,IF-2022-03422043-APN-DNAIP%AAIP 12/01 Se notificó al SO por NO-2022-03448367-APN-DNAIP#AAIP y al reclamante por TAD
1365,08/11/2021,11,2021,Noviembre,22/12/2021,Cerrado,Finalizado,Registro Nacional de las Personas,Ministerio de Interior,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Intimación,Intimación por denegatoria injustificada,Incumplimiento,EX-2021-107543411- -APN-DNAIP#AAIP,IF-2022-02668869-APN-DNAIP%25AAIP 10/01 Se notificó al SO por NO-2022-02716704-APN-DNAIP#AAIP y al reclamante por TAD
1366,08/11/2021,11,2021,Noviembre,22/12/2021,Cerrado,Finalizado,Dirección Nacional de Migraciones,Ministerio de Interior,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,No corresponde,No es SIP,NA,EX-2021-107458924- -APN-DNAIP#AAIP,NA
1367,08/11/2021,11,2021,Noviembre,22/12/2021,Cerrado,Finalizado,Secretaría General,Presidencia de la Nación,Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-107665036-   -APN-DNAIP#AAIP,NA
1368,08/11/2021,11,2021,Noviembre,22/12/2021,Cerrado,Finalizado,Ministerio de Justicia y Derechos Humanos,Ministerio de Justicia y Derechos Humanos,Buenos Aires,TAD,Denegatoria injustificada,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-107448746-   -APN-DNAIP#AAIP,NA
1370,10/11/2021,11,2021,Noviembre,27/12/2021,Cerrado,Finalizado,ENACOM,Jefatura de Gabinete de Ministros,Ciudad Autónoma de Buenos Aires,TAD,Silencio,Archivo,Archivo por ampliacion de respuesta,NA,EX-2021-109132889- -APN-DNAIP#AAIP,NA
1371,11/11/2021,11,2021,Noviembre,28/12/2021,Cerrado,Finalizado,Ministerio de Salud,Ministerio de Salud,Ciudad Autónoma de Buenos Aires,TAD,Denegatoria injustificada,Rechazo,Rechazo,NA,EX-2021-109548821- -APN-DNAIP#AAIP,NA
